Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,39.000000,40.900002,38.700001,40.549999,40.124401,10222790
2023-01-03,40.500000,41.349998,40.200001,41.099998,40.668629,6960495
2023-01-04,40.750000,41.299999,39.700001,40.000000,39.580177,6313057
2023-01-05,40.200001,40.349998,39.150002,39.799999,39.382275,4256922
2023-01-06,39.849998,39.849998,38.450001,38.599998,38.194870,4571409
2023-01-09,38.900002,39.400002,38.400002,39.099998,38.689621,3734275
2023-01-10,39.099998,39.150002,38.400002,38.700001,38.293819,2077883
2023-01-11,38.849998,39.250000,38.700001,39.099998,38.689621,2659420
2023-01-12,39.150002,39.400002,38.599998,38.700001,38.293819,5506032
2023-01-13,38.799999,39.750000,38.650002,39.450001,39.035950,6681997
2023-01-16,39.349998,39.750000,39.299999,39.500000,39.085423,3119063
2023-01-17,39.200001,39.349998,37.849998,38.750000,38.343296,6024823
2023-01-18,38.750000,39.349998,38.450001,38.700001,38.293819,6443564
2023-01-19,38.500000,39.000000,38.099998,38.349998,37.947491,3539976
2023-01-20,38.349998,38.849998,37.849998,38.000000,37.601166,4214034
2023-01-23,38.299999,38.299999,37.299999,37.450001,37.056942,3170851
2023-01-24,37.750000,38.950001,37.599998,38.049999,37.650642,9035235
2023-01-25,38.049999,38.049999,36.900002,37.099998,36.710613,4416531
2023-01-27,37.099998,37.450001,35.200001,35.700001,35.325306,5425287
2023-01-30,35.500000,36.599998,35.150002,35.849998,35.473732,4363086
2023-01-31,36.000000,37.000000,35.799999,36.599998,36.215858,5201033
2023-02-01,37.000000,37.799999,35.200001,35.849998,35.473732,6149236
2023-02-02,35.849998,36.500000,33.849998,34.500000,34.137901,5833967
2023-02-03,34.799999,35.250000,33.650002,34.900002,34.533707,7122070
2023-02-06,35.099998,35.400002,34.650002,34.900002,34.533707,3473435
2023-02-07,35.000000,35.299999,34.299999,34.400002,34.038952,3972146
2023-02-08,34.599998,35.299999,34.450001,35.099998,34.731602,2855538
2023-02-09,35.299999,35.400002,34.700001,34.900002,34.533707,2966635
2023-02-10,34.849998,35.599998,34.700001,34.900002,34.533707,2883769
2023-02-13,35.099998,35.150002,34.549999,34.799999,34.434753,2121060
2023-02-14,34.950001,34.950001,34.299999,34.700001,34.335804,2106793
2023-02-15,34.700001,35.349998,34.250000,34.450001,34.088428,3656907
2023-02-16,34.549999,34.900002,34.299999,34.500000,34.137901,1584446
2023-02-17,34.400002,34.700001,33.799999,34.000000,33.643150,2528385
2023-02-20,34.200001,34.349998,33.150002,33.400002,33.049450,2624832
2023-02-21,33.549999,33.700001,33.200001,33.299999,32.950497,2013315
2023-02-22,33.099998,33.299999,32.500000,32.599998,32.257843,2260941
2023-02-23,32.599998,33.400002,32.299999,33.299999,32.950497,2725109
2023-02-24,33.500000,33.750000,32.750000,33.000000,32.653645,2229051
2023-02-27,33.799999,33.900002,32.799999,33.250000,32.901020,5765039
2023-02-28,33.250000,33.500000,33.099998,33.299999,32.950497,2059273
2023-03-01,33.349998,34.000000,33.200001,33.849998,33.494720,2419202
2023-03-02,34.000000,36.900002,33.950001,36.200001,35.820061,16717952
2023-03-03,36.500000,36.549999,35.500000,35.599998,35.226357,4052063
2023-03-06,35.750000,35.950001,35.599998,35.799999,35.424255,2350407
2023-03-08,36.700001,36.799999,36.099998,36.250000,35.869534,7596008
2023-03-09,36.299999,37.900002,36.200001,37.049999,36.661137,9879173
2023-03-10,37.450001,38.549999,37.150002,37.650002,37.254841,14457447
2023-03-13,37.750000,38.200001,36.150002,36.450001,36.067436,6032119
2023-03-14,36.450001,36.599998,35.299999,35.549999,35.176880,4293566
2023-03-15,37.099998,37.200001,35.700001,35.849998,35.473732,7995420
